NaCl,PSL
93.2699904,99.7
91.3788608,99.7
74.7204832,97.726
87.74496,99.548
93.291304,99.5
93.275352,99.494
96.150008,99.71
91.8087504,99.448
0,0
93.1546496,99.772
94.3905072,99.634
94.8478064,99.53
91.6410048,99.6186
90.2004736,99.602
93.9906208,99.7
93.2433184,99.646
84.1984256,98.882
85.9396448,99.194
91.7642608,99.812
83.7951424,99.446
81.5175584,97.498
88.0761728,98.108
97.3954176,0
91.3144304,98.398
90.4645184,99.092
92.962104,99.602
92.4210224,99.564
90.2373488,99.728
86.7910304,99.538
91.2889888,99.8
92.2121584,99.838
88.2533296,99.176
92.4504432,99.408
91.8694416,99.864
89.6063056,99.266
91.0239712,99.39
90.3817792,99.682
90.0650784,99.722
74.9864928,97.194
89.7824288,99.518
89.4235408,99.316
94.8596192,99.802
89.5520544,99.74
93.4522032,99.816
86.1836912,99.682
90.2815728,99.296
88.4907424,99.698
90.1355568,99.51
82.3498608,99.02
91.9940512,99.544
90.0706336,99.408
90.32616,99.422
88.9197648,98.858
94.8803648,99.54
90.8154256,99.432
94.0175568,99.878
85.0895712,99.634
84.790104,99.738
82.023048,98.84
81.5622432,98.286
81.5622432,98.902
83.2206368,99.502
85.5323744,99.708
89.528552,99.008
91.93712,98.838
83.0718864,98.542
78.5298624,99.4
87.3184656,99.522
83.6133648,99.334
85.6990144,99.472
83.2502128,99.486
87.6983312,99.844
82.7634528,99.166
81.1904544,98.958
87.9997824,99.412
82.7836336,99.552
90.1745136,99.528
88.047296,99.534
93.45492,99.848
92.8048784,99.086
93.8203792,99.93
84.1059552,99.634
84.1059552,99.558
85.6057024,99.658
95.1981184,99.674
90.2848368,99.7
88.9125648,98.846
91.1948992,99.626
89.3127968,98.17
90.2606176,98.894
92.1426912,99.092
89.7045328,99.646
92.3190416,99.702
88.2914096,99.518
92.4521312,99.86
90.1459232,99.614
93.2201088,99.764
93.9189424,99.77
94.679072,99.768
94.6502128,99.79
93.4607424,99.864
94.619032,99.82
91.9617488,99.628
93.2300672,99.864
92.1136736,99.816
93.3016752,99.918
88.1895392,99.756
93.8304528,99.164
94.2060816,99.664
93.1619856,99.568
94.260376,99.418
92.6984432,99.548
92.5361904,99.714
92.7142928,99.054
91.8207008,99.834
94.7382784,99.752
93.6361664,99.23
92.9097648,99.81
94.3549568,99.58
94.2673456,99.758
92.5245744,99.608
93.3353792,99.736
91.4527072,99.248
89.3375632,99.594
92.8229872,99.59
93.7063536,99.288
95.2407536,99.14
92.4316432,99.108
94.5919408,99.766
93.0604576,99.552
94.3045008,99.666
93.4795584,99.686
93.7329152,99.514
93.8747696,99.494
94.7244592,99.172
87.0563424,99.22
94.7838832,99.8
93.5218272,99.876
93.4145952,99.3
94.49904,99.508
89.0815664,99.398
93.3663312,99.478
93.5597584,99.622
93.5444064,99.52
92.0687216,96.674
90.8810208,99.642
93.0245616,98.376
95.266976,99.856
92.8435648,99.674
93.4763328,99.478
93.8757136,99.772
90.7472032,99.328
94.0622896,99.692
93.1413968,99.53
71.516792,97.834
95.41192,99.844
96.2459776,99.608
94.0789616,99.38
95.9426496,99.912
93.931248,99.46
90.4054096,99.632
92.3933312,99.734
92.0272128,99.68
93.478064,99.592
90.9124464,99.528
92.9210512,99.576
89.4714016,99.564
89.3360928,99.74
93.9470448,99.806
88.3204576,99.346
92.0644704,99.684
82.8380912,99.506
62.4994016,97.482
89.1966896,98.944
95.2368592,0
90.4220736,99.112
82.753272,98.864
91.383152,99.454
84.6940592,99.58
92.2074208,99.662
86.6220528,99.42
94.2683328,99.55
89.0960736,99.646
89.1957328,99.7
91.8966272,99.428
94.7026416,99.77
91.4216528,99.616
91.2069024,99.786
92.288552,99.696
92.546288,99.876
92.076368,99.828
92.0850656,99.772
89.6380576,99.262
93.6663888,99.402
91.792344,99.522
90.2942688,99.422
89.175552,99.598
87.8089248,99.506
89.1768368,99.88
91.3152512,99.646
92.5126832,99.734
89.194224,99.376
92.1318752,99.442
90.3463072,99.546
91.2233184,99.7
80.9639408,99.186
93.7565392,99.712
87.9293344,99.45
85.9435728,99.754
85.6919696,99.618
83.1097024,98.842
87.5484336,98.75
87.5484336,99.068
85.8332832,99.174
83.6272656,99.574
86.0926672,99.316
84.5184992,98.302
86.1769632,99.494
87.9947792,99.726
85.8314096,99.442
78.9486544,99.446
76.2394224,99.188
88.803232,99.864
86.4625072,99.448
81.6207216,99.11
93.33124,99.352
78.8566848,99.582
91.716896,99.826
93.3555696,99.82
89.312008,99.538
92.178504,99.718
91.9515104,99.652
93.227632,99.828
87.8560528,99.73
87.8560528,99.7
94.5837552,99.862
86.4535968,98.962
91.7502416,99.902
89.6380128,99.38
90.931216,99.738
90.2305344,99.604
89.7454064,99.774
90.281832,99.234
89.034128,99.772
87.5347664,99.424
93.1026256,99.824
88.4092896,99.626
91.9336288,99.852
94.1045792,99.858
94.8704224,99.974
94.287408,99.828
92.8999296,99.742
93.1843808,99.776
90.565936,99.698
93.6153888,99.674
92.3763712,99.784
92.9829168,99.746
93.190016,99.81
92.8252064,99.482
94.3245824,99.362
93.0598784,99.628
94.4466176,99.66
94.5431888,99.678
93.0897504,99.738
92.5122144,99.734
93.0581152,99.558
94.066368,99.864
94.8801856,99.874
93.1545632,99.5
93.3001472,99.87
95.4448576,99.316
93.3382432,99.514
94.352256,99.882
94.4389088,99.784
93.7116016,99.84
94.698816,99.852
95.6313776,99.894
94.385144,99.61
95.0753104,99.57
94.6646016,99.842
92.7548912,99.4
95.281632,99.826
94.0704624,99.528
93.9209968,99.866
94.9103792,99.736
95.0780416,99.672
94.5338832,99.294
93.5825648,98.974
94.4021824,99.874
92.8367008,99.764
89.9277424,99.048
92.3571952,99.124
88.6977824,99.586
93.668648,99.326
94.4177536,99.7
91.7464832,99.53
94.5157168,98.77
95.144232,99.844
90.6064512,98.55
93.1813648,99.594
93.117968,99.592
90.3417744,99.482
95.9842592,99.812
93.3753104,99.696
93.2521584,99.78
93.3620784,99.46
75.02188,98.72
93.1413824,99.596
91.9679248,99.504
95.8848352,99.656
92.2299104,99.796
92.0069168,99.576
94.2253136,99.614
93.437776,99.788
91.796048,99.568
95.6152544,99.804
91.0323232,99.482
91.3382368,99.396
89.4825424,99.456
94.1295616,99.81
92.6395344,99.59
93.6077344,99.712
94.4021824,99.812
85.7617408,99.388
82.31272,99.006
88.6385664,98.492
79.7112624,98.648
91.6522896,99.18
91.8063152,99.122
91.4122528,99.212
88.0846576,99.666
92.9465248,99.55
89.8553984,99.528
91.7779424,99.95
88.638472,99.622
89.8195616,98.668
87.3522,99.854
91.5099648,99.872
93.7287632,99.644
92.399072,99.296
86.0323616,99.294
90.779072,99.53
89.0192096,99.456
91.430336,99.838
90.8001232,99.622
90.6824672,99.614
86.2907024,99.582
88.9279984,99.36
87.2525776,99.514
80.9079152,99.52
91.38088,99.812
